,pokedex_no,pokemon_name,pokemon_type,info,abilities,base_status,weakness_types,height(m),weight(kg)
38,039,Jigglypuff,"['Normal', 'Fairy']",Balloon Pokémon,"['Cute Charm', 'Competitive', 'Friend Guard']",270,"['Poison', 'Steel']",0.5,5.5
39,040,Wigglytuff,"['Normal', 'Fairy']",Balloon Pokémon,"['Cute Charm', 'Competitive', 'Frisk']",435,"['Poison', 'Steel']",1.0,12.0
40,041,Zubat,"['Poison', 'Flying']",Bat Pokémon,"['Inner Focus', 'Infiltrator']",245,"['Electric', 'Ice', 'Psychic', 'Rock']",0.8,7.5
41,042,Golbat,"['Poison', 'Flying']",Bat Pokémon,"['Inner Focus', 'Infiltrator']",455,"['Electric', 'Ice', 'Psychic', 'Rock']",1.6,55.0
42,043,Oddish,"['Grass', 'Poison']",Weed Pokémon,"['Chlorophyll', 'Run Away']",320,"['Fire', 'Ice', 'Flying', 'Psychic']",0.5,5.4
43,044,Gloom,"['Grass', 'Poison']",Weed Pokémon,"['Chlorophyll', 'Stench']",395,"['Fire', 'Ice', 'Flying', 'Psychic']",0.8,8.6
44,045,Vileplume,"['Grass', 'Poison']",Flower Pokémon,"['Chlorophyll', 'Effect Spore']",490,"['Fire', 'Ice', 'Flying', 'Psychic']",1.2,18.6
45,046,Paras,"['Bug', 'Grass']",Mushroom Pokémon,"['Effect Spore', 'Dry Skin', 'Damp']",285,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug', 'Rock']",0.3,5.4
46,047,Parasect,"['Bug', 'Grass']",Mushroom Pokémon,"['Effect Spore', 'Dry Skin', 'Damp']",405,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug', 'Rock']",1.0,29.5
47,048,Venonat,"['Bug', 'Poison']",Insect Pokémon,"['Compound Eyes', 'Tinted Lens', 'Run Away']",305,"['Fire', 'Flying', 'Psychic', 'Rock']",1.0,30.0
48,049,Venomoth,"['Bug', 'Poison']",Poison Moth Pokémon,"['Shield Dust', 'Tinted Lens', 'Wonder Skin']",450,"['Fire', 'Flying', 'Psychic', 'Rock']",1.5,12.5
49,050,Diglett,['Ground'],Mole Pokémon,"['Sand Veil', 'Arena Trap', 'Sand Force']",265,"['Water', 'Grass', 'Ice']",0.2,0.8
50,051,Dugtrio,['Ground'],Mole Pokémon,"['Sand Veil', 'Arena Trap', 'Sand Force']",425,"['Water', 'Grass', 'Ice']",0.7,33.3
51,052,Meowth,['Normal'],Scratch Cat Pokémon,"['Pickup', 'Technician', 'Unnerve']",290,['Fighting'],0.4,4.2
52,053,Persian,['Normal'],Classy Cat Pokémon,"['Limber', 'Technician', 'Unnerve']",440,['Fighting'],1.0,32.0
53,054,Psyduck,['Water'],Duck Pokémon,"['Damp', 'Cloud Nine', 'Swift Swim']",320,"['Grass', 'Electric']",0.8,19.6
54,055,Golduck,['Water'],Duck Pokémon,"['Damp', 'Cloud Nine', 'Swift Swim']",500,"['Grass', 'Electric']",1.7,76.6
55,056,Mankey,['Fighting'],Pig Monkey Pokémon,"['Vital Spirit', 'Anger Point', 'Defiant']",305,"['Flying', 'Psychic', 'Fairy']",0.5,28.0
56,057,Primeape,['Fighting'],Pig Monkey Pokémon,"['Vital Spirit', 'Anger Point', 'Defiant']",455,"['Flying', 'Psychic', 'Fairy']",1.0,32.0
57,058,Growlithe,['Fire'],Puppy Pokémon,"['Intimidate', 'Flash Fire', 'Justified']",350,"['Water', 'Ground', 'Rock']",0.7,19.0
58,059,Arcanine,['Fire'],Legendary Pokémon,"['Intimidate', 'Flash Fire', 'Justified']",555,"['Water', 'Ground', 'Rock']",1.9,155.0
59,060,Poliwag,['Water'],Tadpole Pokémon,"['Water Absorb', 'Damp', 'Swift Swim']",300,"['Grass', 'Electric']",0.6,12.4
60,061,Poliwhirl,['Water'],Tadpole Pokémon,"['Water Absorb', 'Damp', 'Swift Swim']",385,"['Grass', 'Electric']",1.0,20.0
61,062,Poliwrath,"['Water', 'Fighting']",Tadpole Pokémon,"['Water Absorb', 'Damp', 'Swift Swim']",510,"['Grass', 'Electric', 'Flying', 'Psychic', 'Fairy']",1.3,54.0
62,063,Abra,['Psychic'],Psi Pokémon,"['Synchronize', 'Inner Focus', 'Magic Guard']",310,"['Bug', 'Ghost', 'Dark']",0.9,19.5
63,064,Kadabra,['Psychic'],Psi Pokémon,"['Synchronize', 'Inner Focus', 'Magic Guard']",400,"['Bug', 'Ghost', 'Dark']",1.3,56.5
64,065,Alakazam,['Psychic'],Psi Pokémon,"['Synchronize', 'Inner Focus', 'Magic Guard']",500,"['Bug', 'Ghost', 'Dark']",1.5,48.0
65,066,Machop,['Fighting'],Superpower Pokémon,"['Guts', 'No Guard', 'Steadfast']",305,"['Flying', 'Psychic', 'Fairy']",0.8,19.5
66,067,Machoke,['Fighting'],Superpower Pokémon,"['Guts', 'No Guard', 'Steadfast']",405,"['Flying', 'Psychic', 'Fairy']",1.5,70.5
67,068,Machamp,['Fighting'],Superpower Pokémon,"['Guts', 'No Guard', 'Steadfast']",505,"['Flying', 'Psychic', 'Fairy']",1.6,130.0
68,069,Bellsprout,"['Grass', 'Poison']",Flower Pokémon,"['Chlorophyll', 'Gluttony']",300,"['Fire', 'Ice', 'Flying', 'Psychic']",0.7,4.0
69,070,Weepinbell,"['Grass', 'Poison']",Flycatcher Pokémon,"['Chlorophyll', 'Gluttony']",390,"['Fire', 'Ice', 'Flying', 'Psychic']",1.0,6.4
70,071,Victreebel,"['Grass', 'Poison']",Flycatcher Pokémon,"['Chlorophyll', 'Gluttony']",490,"['Fire', 'Ice', 'Flying', 'Psychic']",1.7,15.5
71,072,Tentacool,"['Water', 'Poison']",Jellyfish Pokémon,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",335,"['Electric', 'Ground', 'Psychic']",0.9,45.5
72,073,Tentacruel,"['Water', 'Poison']",Jellyfish Pokémon,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",515,"['Electric', 'Ground', 'Psychic']",1.6,55.0
73,074,Geodude,"['Rock', 'Ground']",Rock Pokémon,"['Rock Head', 'Sturdy', 'Sand Veil']",300,"['Water', 'Grass', 'Ice', 'Fighting', 'Ground', 'Steel']",0.4,20.0
74,075,Graveler,"['Rock', 'Ground']",Rock Pokémon,"['Rock Head', 'Sturdy', 'Sand Veil']",390,"['Water', 'Grass', 'Ice', 'Fighting', 'Ground', 'Steel']",1.0,105.0
75,076,Golem,"['Rock', 'Ground']",Megaton Pokémon,"['Rock Head', 'Sturdy', 'Sand Veil']",495,"['Water', 'Grass', 'Ice', 'Fighting', 'Ground', 'Steel']",1.4,300.0
76,077,Ponyta,['Fire'],Fire Horse Pokémon,"['Run Away', 'Flash Fire', 'Flame Body']",410,"['Water', 'Ground', 'Rock']",1.0,30.0
77,078,Rapidash,['Fire'],Fire Horse Pokémon,"['Run Away', 'Flash Fire', 'Flame Body']",500,"['Water', 'Ground', 'Rock']",1.7,95.0
78,079,Slowpoke,"['Water', 'Psychic']",Dopey Pokémon,"['Oblivious', 'Own Tempo', 'Regenerator']",315,"['Grass', 'Electric', 'Bug', 'Ghost', 'Dark']",1.2,36.0
79,080,Slowbro,"['Water', 'Psychic']",Hermit Crab Pokémon,"['Oblivious', 'Own Tempo', 'Regenerator']",490,"['Grass', 'Electric', 'Bug', 'Ghost', 'Dark']",1.6,78.5
80,081,Magnemite,"['Electric', 'Steel']",Magnet Pokémon,"['Magnet Pull', 'Sturdy', 'Analytic']",325,"['Fire', 'Fighting', 'Ground']",0.3,6.0
81,082,Magneton,"['Electric', 'Steel']",Magnet Pokémon,"['Magnet Pull', 'Sturdy', 'Analytic']",465,"['Fire', 'Fighting', 'Ground']",1.0,60.0
82,083,Farfetchd,"['Normal', 'Flying']",Wild Duck Pokémon,"['Keen Eye', 'Inner Focus', 'Defiant']",377,"['Electric', 'Ice', 'Rock']",0.8,15.0
83,084,Doduo,"['Normal', 'Flying']",Twin Bird Pokémon,"['Run Away', 'Early Bird', 'Tangled Feet']",310,"['Electric', 'Ice', 'Rock']",1.4,39.2
84,085,Dodrio,"['Normal', 'Flying']",Triple Bird Pokémon,"['Run Away', 'Early Bird', 'Tangled Feet']",470,"['Electric', 'Ice', 'Rock']",1.8,85.2
85,086,Seel,['Water'],Sea Lion Pokémon,"['Thick Fat', 'Hydration', 'Ice Body']",325,"['Grass', 'Electric']",1.1,90.0
86,087,Dewgong,"['Water', 'Ice']",Sea Lion Pokémon,"['Thick Fat', 'Hydration', 'Ice Body']",475,"['Grass', 'Electric', 'Fighting', 'Rock']",1.7,120.0
87,088,Grimer,['Poison'],Sludge Pokémon,"['Stench', 'Sticky Hold', 'Poison Touch']",325,"['Ground', 'Psychic']",0.9,30.0
88,089,Muk,['Poison'],Sludge Pokémon,"['Stench', 'Sticky Hold', 'Poison Touch']",500,"['Ground', 'Psychic']",1.2,30.0
89,090,Shellder,['Water'],Bivalve Pokémon,"['Shell Armor', 'Skill Link', 'Overcoat']",305,"['Grass', 'Electric']",0.3,4.0
90,091,Cloyster,"['Water', 'Ice']",Bivalve Pokémon,"['Shell Armor', 'Skill Link', 'Overcoat']",525,"['Grass', 'Electric', 'Fighting', 'Rock']",1.5,132.5
91,092,Gastly,"['Ghost', 'Poison']",Gas Pokémon,['Levitate'],310,"['Ground', 'Psychic', 'Ghost', 'Dark']",1.3,0.1
92,093,Haunter,"['Ghost', 'Poison']",Gas Pokémon,['Levitate'],405,"['Ground', 'Psychic', 'Ghost', 'Dark']",1.6,0.1
93,094,Gengar,"['Ghost', 'Poison']",Shadow Pokémon,['Cursed Body'],500,"['Ground', 'Psychic', 'Ghost', 'Dark']",1.5,40.5
94,095,Onix,"['Rock', 'Ground']",Rock Snake Pokémon,"['Rock Head', 'Sturdy', 'Weak Armor']",385,"['Water', 'Grass', 'Ice', 'Fighting', 'Ground', 'Steel']",8.8,210.0
95,096,Drowzee,['Psychic'],Hypnosis Pokémon,"['Insomnia', 'Forewarn', 'Inner Focus']",328,"['Bug', 'Ghost', 'Dark']",1.0,32.4
96,097,Hypno,['Psychic'],Hypnosis Pokémon,"['Insomnia', 'Forewarn', 'Inner Focus']",483,"['Bug', 'Ghost', 'Dark']",1.6,75.6
97,098,Krabby,['Water'],River Crab Pokémon,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",325,"['Grass', 'Electric']",0.4,6.5
98,099,Kingler,['Water'],Pincer Pokémon,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",475,"['Grass', 'Electric']",1.3,60.0
99,100,Voltorb,['Electric'],Ball Pokémon,"['Soundproof', 'Static', 'Aftermath']",330,['Ground'],0.5,10.4
100,101,Electrode,['Electric'],Ball Pokémon,"['Soundproof', 'Static', 'Aftermath']",490,['Ground'],1.2,66.6
101,102,Exeggcute,"['Grass', 'Psychic']",Egg Pokémon,"['Chlorophyll', 'Harvest']",325,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug', 'Ghost', 'Dark']",0.4,2.5
102,103,Exeggutor,"['Grass', 'Psychic']",Coconut Pokémon,"['Chlorophyll', 'Harvest']",530,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug', 'Ghost', 'Dark']",2.0,120.0
103,104,Cubone,['Ground'],Lonely Pokémon,"['Rock Head', 'Lightning Rod', 'Battle Armor']",320,"['Water', 'Grass', 'Ice']",0.4,6.5
104,105,Marowak,['Ground'],Bone Keeper Pokémon,"['Rock Head', 'Lightning Rod', 'Battle Armor']",425,"['Water', 'Grass', 'Ice']",1.0,45.0
105,106,Hitmonlee,['Fighting'],Kicking Pokémon,"['Limber', 'Reckless', 'Unburden']",455,"['Flying', 'Psychic', 'Fairy']",1.5,49.8
106,107,Hitmonchan,['Fighting'],Punching Pokémon,"['Keen Eye', 'Iron Fist', 'Inner Focus']",455,"['Flying', 'Psychic', 'Fairy']",1.4,50.2
107,108,Lickitung,['Normal'],Licking Pokémon,"['Own Tempo', 'Oblivious', 'Cloud Nine']",385,['Fighting'],1.2,65.5
108,109,Koffing,['Poison'],Poison Gas Pokémon,"['Levitate', 'Neutralizing Gas', 'Stench']",340,"['Ground', 'Psychic']",0.6,1.0
109,110,Weezing,['Poison'],Poison Gas Pokémon,"['Levitate', 'Neutralizing Gas', 'Stench']",490,"['Ground', 'Psychic']",1.2,9.5
110,111,Rhyhorn,"['Ground', 'Rock']",Spikes Pokémon,"['Lightning Rod', 'Rock Head', 'Reckless']",345,"['Water', 'Grass', 'Ice', 'Fighting', 'Ground', 'Steel']",1.0,115.0
111,112,Rhydon,"['Ground', 'Rock']",Drill Pokémon,"['Lightning Rod', 'Rock Head', 'Reckless']",485,"['Water', 'Grass', 'Ice', 'Fighting', 'Ground', 'Steel']",1.9,120.0
112,113,Chansey,['Normal'],Egg Pokémon,"['Natural Cure', 'Serene Grace', 'Healer']",450,['Fighting'],1.1,34.6
113,114,Tangela,['Grass'],Vine Pokémon,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",435,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",1.0,35.0
114,115,Kangaskhan,['Normal'],Parent Pokémon,"['Early Bird', 'Scrappy', 'Inner Focus']",490,['Fighting'],2.2,80.0
115,116,Horsea,['Water'],Dragon Pokémon,"['Swift Swim', 'Sniper', 'Damp']",295,"['Grass', 'Electric']",0.4,8.0
116,117,Seadra,['Water'],Dragon Pokémon,"['Poison Point', 'Sniper', 'Damp']",440,"['Grass', 'Electric']",1.2,25.0
117,118,Goldeen,['Water'],Goldfish Pokémon,"['Swift Swim', 'Water Veil', 'Lightning Rod']",320,"['Grass', 'Electric']",0.6,15.0
118,119,Seaking,['Water'],Goldfish Pokémon,"['Swift Swim', 'Water Veil', 'Lightning Rod']",450,"['Grass', 'Electric']",1.3,39.0
119,120,Staryu,['Water'],Star Shape Pokémon,"['Illuminate', 'Natural Cure', 'Analytic']",340,"['Grass', 'Electric']",0.8,34.5
120,121,Starmie,"['Water', 'Psychic']",Mysterious Pokémon,"['Illuminate', 'Natural Cure', 'Analytic']",520,"['Grass', 'Electric', 'Bug', 'Ghost', 'Dark']",1.1,80.0
121,122,mr-mime,"['Psychic', 'Fairy']",Barrier Pokémon,"['Soundproof', 'Filter', 'Technician']",460,"['Poison', 'Ghost', 'Steel']",1.3,54.5
122,123,Scyther,"['Bug', 'Flying']",Mantis Pokémon,"['Swarm', 'Technician', 'Steadfast']",500,"['Fire', 'Electric', 'Ice', 'Flying', 'Rock']",1.5,56.0
123,124,Jynx,"['Ice', 'Psychic']",Human Shape Pokémon,"['Oblivious', 'Forewarn', 'Dry Skin']",455,"['Fire', 'Bug', 'Rock', 'Ghost', 'Dark', 'Steel']",1.4,40.6
124,125,Electabuzz,['Electric'],Electric Pokémon,"['Static', 'Vital Spirit']",490,['Ground'],1.1,30.0
125,126,Magmar,['Fire'],Spitfire Pokémon,"['Flame Body', 'Vital Spirit']",495,"['Water', 'Ground', 'Rock']",1.3,44.5
126,127,Pinsir,['Bug'],Stag Beetle Pokémon,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",500,"['Fire', 'Flying', 'Rock']",1.5,55.0
127,128,Tauros,['Normal'],Wild Bull Pokémon,"['Intimidate', 'Anger Point', 'Sheer Force']",490,['Fighting'],1.4,88.4
128,129,Magikarp,['Water'],Fish Pokémon,"['Swift Swim', 'Rattled']",200,"['Grass', 'Electric']",0.9,10.0
129,130,Gyarados,"['Water', 'Flying']",Atrocious Pokémon,"['Intimidate', 'Moxie']",540,"['Electric', 'Rock']",6.5,235.0
130,131,Lapras,"['Water', 'Ice']",Transport Pokémon,"['Water Absorb', 'Shell Armor', 'Hydration']",535,"['Grass', 'Electric', 'Fighting', 'Rock']",2.5,220.0
131,132,Ditto,['Normal'],Transform Pokémon,"['Limber', 'Imposter']",288,['Fighting'],0.3,4.0
132,133,Eevee,['Normal'],Evolution Pokémon,"['Run Away', 'Adaptability', 'Anticipation']",325,['Fighting'],0.3,6.5
133,134,Vaporeon,['Water'],Bubble Jet Pokémon,"['Water Absorb', 'Hydration']",525,"['Grass', 'Electric']",1.0,29.0
134,135,Jolteon,['Electric'],Lightning Pokémon,"['Volt Absorb', 'Quick Feet']",525,['Ground'],0.8,24.5
135,136,Flareon,['Fire'],Flame Pokémon,"['Flash Fire', 'Guts']",525,"['Water', 'Ground', 'Rock']",0.9,25.0
136,137,Porygon,['Normal'],Virtual Pokémon,"['Trace', 'Download', 'Analytic']",395,['Fighting'],0.8,36.5
137,138,Omanyte,"['Rock', 'Water']",Spiral Pokémon,"['Swift Swim', 'Shell Armor', 'Weak Armor']",355,"['Grass', 'Electric', 'Fighting', 'Ground']",0.4,7.5
138,139,Omastar,"['Rock', 'Water']",Spiral Pokémon,"['Swift Swim', 'Shell Armor', 'Weak Armor']",495,"['Grass', 'Electric', 'Fighting', 'Ground']",1.0,35.0
139,140,Kabuto,"['Rock', 'Water']",Shellfish Pokémon,"['Swift Swim', 'Battle Armor', 'Weak Armor']",355,"['Grass', 'Electric', 'Fighting', 'Ground']",0.5,11.5
140,141,Kabutops,"['Rock', 'Water']",Shellfish Pokémon,"['Swift Swim', 'Battle Armor', 'Weak Armor']",495,"['Grass', 'Electric', 'Fighting', 'Ground']",1.3,40.5
141,142,Aerodactyl,"['Rock', 'Flying']",Fossil Pokémon,"['Rock Head', 'Pressure', 'Unnerve']",515,"['Water', 'Electric', 'Ice', 'Rock', 'Steel']",1.8,59.0
142,143,Snorlax,['Normal'],Sleeping Pokémon,"['Immunity', 'Thick Fat', 'Gluttony']",540,['Fighting'],2.1,460.0
143,144,Articuno,"['Ice', 'Flying']",Freeze Pokémon,"['Pressure', 'Snow Cloak']",580,"['Fire', 'Electric', 'Rock', 'Steel']",1.7,55.4
144,145,Zapdos,"['Electric', 'Flying']",Electric Pokémon,"['Pressure', 'Static']",580,"['Ice', 'Rock']",1.6,52.6
145,146,Moltres,"['Fire', 'Flying']",Flame Pokémon,"['Pressure', 'Flame Body']",580,"['Water', 'Electric', 'Rock']",2.0,60.0
146,147,Dratini,['Dragon'],Dragon Pokémon,"['Shed Skin', 'Marvel Scale']",300,"['Ice', 'Dragon', 'Fairy']",1.8,3.3
147,148,Dragonair,['Dragon'],Dragon Pokémon,"['Shed Skin', 'Marvel Scale']",420,"['Ice', 'Dragon', 'Fairy']",4.0,16.5
148,149,Dragonite,"['Dragon', 'Flying']",Dragon Pokémon,"['Inner Focus', 'Multiscale']",600,"['Ice', 'Rock', 'Dragon', 'Fairy']",2.2,210.0
149,150,Mewtwo,['Psychic'],Genetic Pokémon,"['Pressure', 'Unnerve']",680,"['Bug', 'Ghost', 'Dark']",2.0,122.0
150,151,Mew,['Psychic'],New Species Pokémon,['Synchronize'],600,"['Bug', 'Ghost', 'Dark']",0.4,4.0
151,152,Chikorita,['Grass'],Leaf Pokémon,"['Overgrow', 'Leaf Guard']",318,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",0.9,6.4
152,153,Bayleef,['Grass'],Leaf Pokémon,"['Overgrow', 'Leaf Guard']",405,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",1.2,15.8
153,154,Meganium,['Grass'],Herb Pokémon,"['Overgrow', 'Leaf Guard']",525,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",1.8,100.5
154,155,Cyndaquil,['Fire'],Fire Mouse Pokémon,"['Blaze', 'Flash Fire']",309,"['Water', 'Ground', 'Rock']",0.5,7.9
155,156,Quilava,['Fire'],Volcano Pokémon,"['Blaze', 'Flash Fire']",405,"['Water', 'Ground', 'Rock']",0.9,19.0
156,157,Typhlosion,['Fire'],Volcano Pokémon,"['Blaze', 'Flash Fire']",534,"['Water', 'Ground', 'Rock']",1.7,79.5
157,158,Totodile,['Water'],Big Jaw Pokémon,"['Torrent', 'Sheer Force']",314,"['Grass', 'Electric']",0.6,9.5
158,159,Croconaw,['Water'],Big Jaw Pokémon,"['Torrent', 'Sheer Force']",405,"['Grass', 'Electric']",1.1,25.0
159,160,Feraligatr,['Water'],Big Jaw Pokémon,"['Torrent', 'Sheer Force']",530,"['Grass', 'Electric']",2.3,88.8
160,161,Sentret,['Normal'],Scout Pokémon,"['Run Away', 'Keen Eye', 'Frisk']",215,['Fighting'],0.8,6.0
161,162,Furret,['Normal'],Long Body Pokémon,"['Run Away', 'Keen Eye', 'Frisk']",415,['Fighting'],1.8,32.5
162,163,Hoothoot,"['Normal', 'Flying']",Owl Pokémon,"['Insomnia', 'Keen Eye', 'Tinted Lens']",262,"['Electric', 'Ice', 'Rock']",0.7,21.2
163,164,Noctowl,"['Normal', 'Flying']",Owl Pokémon,"['Insomnia', 'Keen Eye', 'Tinted Lens']",452,"['Electric', 'Ice', 'Rock']",1.6,40.8
164,165,Ledyba,"['Bug', 'Flying']",Five Star Pokémon,"['Swarm', 'Early Bird', 'Rattled']",265,"['Fire', 'Electric', 'Ice', 'Flying', 'Rock']",1.0,10.8
165,166,Ledian,"['Bug', 'Flying']",Five Star Pokémon,"['Swarm', 'Early Bird', 'Iron Fist']",390,"['Fire', 'Electric', 'Ice', 'Flying', 'Rock']",1.4,35.6
166,167,Spinarak,"['Bug', 'Poison']",String Spit Pokémon,"['Swarm', 'Insomnia', 'Sniper']",250,"['Fire', 'Flying', 'Psychic', 'Rock']",0.5,8.5
167,168,Ariados,"['Bug', 'Poison']",Long Leg Pokémon,"['Swarm', 'Insomnia', 'Sniper']",400,"['Fire', 'Flying', 'Psychic', 'Rock']",1.1,33.5
168,169,Crobat,"['Poison', 'Flying']",Bat Pokémon,"['Inner Focus', 'Infiltrator']",535,"['Electric', 'Ice', 'Psychic', 'Rock']",1.8,75.0
169,170,Chinchou,"['Water', 'Electric']",Angler Pokémon,"['Volt Absorb', 'Illuminate', 'Water Absorb']",330,"['Grass', 'Ground']",0.5,12.0
